DateTime,PCB_Name,Model,FCT_ID,QR1,QR2,QR3,QRresult,TESTresult,TestNo.,ErrorNo.,OK/NG
2025/12/15 10:12,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:13,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:13,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:14,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:14,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:15,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,4A,1000,
2025/12/15 10:16,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:18,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:18,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,C0,000F,
2025/12/15 10:19,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:19,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:19,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:20,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:21,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:21,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:22,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:23,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:24,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:26,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:27,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:28,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:29,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:30,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:31,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:38,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:39,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:40,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:41,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:42,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:43,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:44,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,4A,1000,
2025/12/15 10:45,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:45,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:45,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:46,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:47,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:48,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:49,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:50,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:50,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 10:51,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:52,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:53,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:54,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:55,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:56,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:58,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 10:59,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 11:01,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 11:02,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 11:03,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 11:04,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 11:04,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,01,1100,
2025/12/15 11:05,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 11:06,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/15 11:23,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/9 18:05,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/15 8:06,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 8:51,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 8:52,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:17,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:18,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:19,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:20,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:21,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:22,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:23,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:24,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:25,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:26,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:28,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:29,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:30,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:31,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:32,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:33,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:34,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:36,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:37,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:38,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:40,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:41,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:42,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:43,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:45,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:46,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:47,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:48,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:50,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:51,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:52,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:53,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:54,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:55,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:56,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:57,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 9:59,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:00,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:02,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:03,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:06,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,NG,C0,000F,
2025/12/15 10:07,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:09,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:10,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:11,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:12,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:13,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:14,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:15,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:15,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,NG,B1,0051,
2025/12/15 10:16,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:17,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:18,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:20,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:21,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:21,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,NG,C0,000F,
2025/12/15 10:22,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:23,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:24,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:26,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:27,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:28,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:29,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:30,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:31,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:32,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:38,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:39,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:40,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:41,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:42,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:43,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:45,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:46,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:47,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:48,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:49,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:50,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:51,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:52,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:53,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:54,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:55,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:56,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:57,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 10:58,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:00,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:01,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:02,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:03,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:05,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:06,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:07,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:23,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/12/15 11:25,D2101A-E2101B-DE01A1,A86 ,FCT2,,,,,OK,,,
2025/8/21 17:58,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,4A,5800,
2025/8/21 18:04,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,NG,34,0009,
2025/8/21 18:06,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:12,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:17,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:23,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:28,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:34,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:39,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:45,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:50,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 18:56,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 19:01,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 19:07,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 19:12,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 19:18,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 19:23,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 19:29,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/8/21 19:34,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 14:41,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 14:47,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 14:53,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 14:58,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:04,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:09,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:15,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:20,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:26,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:31,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:37,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:42,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:48,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:53,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 15:59,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 19:04,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 19:25,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 19:30,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/16 19:36,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 8:35,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 8:41,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 8:46,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 8:52,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 8:57,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 9:03,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 9:08,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 9:14,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 9:19,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 9:25,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/10/17 9:30,D2101A-E2101B-DE01A1,A86 ,FCT1,,,,,OK,,,
2025/12/2 9:25,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,NG,04,1010,
2025/12/2 9:26,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,NG,04,1010,
2025/12/2 9:38,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,NG,70,A42E,
2025/12/2 9:48,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 9:54,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 9:59,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:05,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:10,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:16,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:21,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:27,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:32,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:38,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:43,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/2 10:49,D2101A-E2101B-DE01A1,A86 ,FCT3,,,,,OK,,,
2025/12/15 10:35,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:35,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:36,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,01,1100,
2025/12/15 10:37,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
2025/12/15 10:38,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:38,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:39,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:41,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:42,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,NG,C0,000F,
2025/12/15 10:45,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
2025/12/15 10:46,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
2025/12/15 10:49,D2101A-E2101B-DE01A1,A86 ,FCT4,,,,,OK,,,
